"ID","SITE_ID","FACTOR_KEY","FACTOR_VALUE","CREATED_AT"
123,18,"Transport","0","2026-04-24 10:39:01"
102,8,"Transport","0","2026-04-24 10:20:44"
142,14,"SLT Fiber Connectivity chargers","1500","2026-04-29 09:55:11"
62,36,"Monthly Rental for Laptops deployed at customer’s site. Charge per laptop.","11000.00","2026-04-03 14:54:55"
101,8,"Machine cost","54167","2026-04-24 10:20:44"
103,8,"Admin cost","0","2026-04-24 10:20:44"
104,8,"Stationary cost","3000","2026-04-24 10:20:44"
105,8,"Other cost","0","2026-04-24 10:20:44"
106,11,"Machine cost","19500","2026-04-24 10:24:15"
107,11,"Transport","0","2026-04-24 10:24:15"
108,11,"Admin cost","0","2026-04-24 10:24:15"
109,11,"Stationary cost","0","2026-04-24 10:24:15"
110,11,"Other cost","0","2026-04-24 10:24:15"
111,39,"Machine cost","0","2026-04-24 10:27:16"
112,39,"Transport","0","2026-04-24 10:27:16"
113,39,"Admin cost","0","2026-04-24 10:27:16"
114,39,"Stationary cost","0","2026-04-24 10:27:16"
115,39,"Other cost","0","2026-04-24 10:27:16"
116,6,"Machine cost","132500","2026-04-24 10:34:26"
117,6,"Transport","0","2026-04-24 10:34:26"
118,6,"Admin cost","0","2026-04-24 10:34:26"
119,6,"Stationary cost","0","2026-04-24 10:34:26"
120,6,"Other cost","0","2026-04-24 10:34:26"
121,18,"Error scaning count","3.00","2026-04-24 10:39:01"
122,18,"Machine cost","67834","2026-04-24 10:39:01"
124,18,"Admin cost","0","2026-04-24 10:39:01"
125,18,"Stationary cost","0","2026-04-24 10:39:01"
126,18,"Other cost","0","2026-04-24 10:39:01"
127,3,"Machine cost","92668","2026-04-24 10:45:46"
128,3,"Transport","0","2026-04-24 10:45:46"
129,3,"Admin cost","2000","2026-04-24 10:45:46"
130,3,"Stationary cost","2999","2026-04-24 10:45:46"
131,3,"Other cost","0","2026-04-24 10:45:46"
