"ID","SITE_ID","TASK_NAME","INVOICE_PRICE","CREATED_AT"
516,43,"Refund Cheques (Cheques Dispatching & Dispatch Record Maintaining)				",12,"2026-04-02 12:56:44"
517,43,"Customized Policy  Documents				",176,"2026-04-02 12:56:44"
518,43,"Customized Printing of Good Health Cards and insertion				",50,"2026-04-02 12:56:44"
519,43,"Monthly Endrostment count 				",20,"2026-04-02 12:56:44"
520,43,"Endrostment DOCUMENT SCANNING & INDEZXING UPLOADING				",1.95,"2026-04-02 12:56:44"
521,43,"Investment And Savings Scanning & Uploads				",1.95,"2026-04-02 12:56:44"
522,43," Scanning count 				",1.95,"2026-04-02 12:56:44"
523,43,"Data Entry of Loan Protection 			",349.99,"2026-04-02 12:56:44"
524,13,"Document Matching & check data accuracy, Document Illoting & insert PVC card			",37.5,"2026-04-02 12:57:57"
525,13,"Policy Schedule, Proposal and other related Document Printing				",2.7,"2026-04-02 12:57:57"
526,13,"Printing of one-sided CARD Printing 				",5.75,"2026-04-02 12:57:57"
527,13,"Printing of Policy Certificate				",2.7,"2026-04-02 12:57:57"
528,13,"Preparation of packs by inserting cover letter, policy certificate and health card 				",19.99,"2026-04-02 12:57:57"
529,12,"GLH",3.9,"2026-04-02 12:58:46"
530,12,"CL	",3.9,"2026-04-02 12:58:46"
531,12,"CLM	",3.9,"2026-04-02 12:58:46"
46,7,"LIFE A3 Images single side				",4.6,"2026-03-19 15:21:44"
532,12,"PER	",3.88,"2026-04-02 12:58:46"
533,12,"PRU	",3.9,"2026-04-02 12:58:46"
534,12,"UW 	",3.9,"2026-04-02 12:58:46"
535,12,"UWM	",3.9,"2026-04-02 12:58:46"
536,12,"PRUM	",3.9,"2026-04-02 12:58:46"
537,12,"CL SHARE 	",3.9,"2026-04-02 12:58:46"
45,7,"LIFE A4  Images single side				",2.5,"2026-03-19 15:21:44"
47,7,"AROGYA A4 Images single side				",2.5,"2026-03-19 15:21:44"
48,7,"AROGYA A3 Images single side				",4.6,"2026-03-19 15:21:44"
49,7,"MATHURITY A4 Images single side				",2.5,"2026-03-19 15:21:44"
50,7,"MATHURITY A3 Images single side				",4.6,"2026-03-19 15:21:44"
51,7,"PHS A4 Images single side				",2.5,"2026-03-19 15:21:44"
52,7,"PHS A3 Images single side				",4.6,"2026-03-19 15:21:44"
53,7,"OTHER SCAN A4  Images				",2.5,"2026-03-19 15:21:44"
54,7,"OTHER SCAN A3  Images				",4.6,"2026-03-19 15:21:44"
55,7,"Register Post List Imgages A4				",2.5,"2026-03-19 15:21:44"
56,7,"MEDICAL BILL A4 Images				",2.5,"2026-03-19 15:21:44"
57,7,"LIFE GROUP A4 Images				",2.5,"2026-03-19 15:21:44"
538,12,"UW SHARE 	",3.9,"2026-04-02 12:58:46"
539,12,"CL Center	",3.9,"2026-04-02 12:58:46"
540,12,"SV	",3.87,"2026-04-02 12:58:46"
607,34,"File",0,"2026-04-06 13:50:42"
610,101,"Scanning",4.1,"2026-04-06 15:20:30"
697,6,"Scanning and indexing service for Leasing Applications – A3 & Below				",5,"2026-04-24 10:34:26"
631,32,"SCM3 Verification agreements count - Physical                              				",10,"2026-04-07 09:14:33"
548,36,"Document Scanning A4 Size 			",3.25,"2026-04-03 14:54:55"
69,19,"Return Policy Re Generation (Underwriting)				",176,"2026-03-19 16:45:12"
70,19,"Re-Print Customized Policy  Documents (UW & ASSIGNMENT)				",176,"2026-03-19 16:45:12"
71,19,"Customize Policy Printing & preperation MOQ Agreement				",176,"2026-03-19 16:45:12"
72,19,"Ballance for the MOQ Agreement				",176,"2026-03-19 16:45:12"
73,19,"Return Policy Re-arrangement				",20,"2026-03-19 16:45:12"
74,19,"Manual Policy Preperation				",20,"2026-03-19 16:45:12"
75,19,"provided by softlogic admin				",50,"2026-03-19 16:45:12"
