"ID","SITE_NO","NAME","SUPERVISOR_ID","DAILY_TARGET","OT_TYPE","SERVICE_TYPE","SITE_TYPE","CREATED_AT","UPDATED_AT"
3,"NWL001","Nawaloka Hospitals",6,1600,"target_based","Scanning","Hospital","2026-03-04 11:21:45","2026-04-24 10:45:46"
101,"HUT048","Hutch",,0,"target_based","Scanning","Tele","2026-04-06 15:09:24","2026-04-06 15:20:30"
4,"UNA002","Union assurance",10,0,"time_based","Insurance Policy","Insurance","2026-03-04 12:44:53","2026-03-23 12:30:21"
6,"AMF004","ASSOCTATED MOTOR FINANCE COMPANY PLC",,750,"target_based","Scanning","Finance","2026-03-04 15:35:36","2026-04-24 10:34:26"
7,"SLIC05","SRI LANKA INSURANCE",18,0,"time_based","Insurance Policy","Insurance","2026-03-04 16:11:39","2026-03-19 15:21:44"
8,"AMN006","AMANA BANK",,1800,"target_based","Scanning","Bank","2026-03-04 16:12:50","2026-04-24 10:20:44"
9,"CBI007","CENTRAL BANK",,1000,"time_based","Data entry","Bank","2026-03-04 16:15:33","2026-03-19 22:43:19"
10,"JWN008","JHON WILSON",,600,"target_based","Scanning","Finance","2026-03-04 16:22:39","2026-04-20 11:42:52"
11,"CBC009","CENTRAL BANK",28,0,"time_based","Data entry","Bank","2026-03-04 16:26:06","2026-04-24 10:24:15"
12,"AIA010","AIA INSURANCE",36,0,"time_based","Scanning","Insurance","2026-03-04 16:27:15","2026-04-02 12:58:46"
13,"AIA011","AIA INSURANCE",34,0,"time_based","Insurance Policy","Insurance","2026-03-04 16:27:40","2026-04-02 12:57:57"
14,"LGS012","LAUGFS HOLDINGS",39,250,"target_based","Data entry","Finance","2026-03-04 16:29:21","2026-04-29 09:55:11"
15,"LHN013","LANKA HOSPITAL",,0,"target_based","Scanning","Hospital","2026-03-04 16:34:31","2026-03-19 22:55:12"
16,"CTI014","CONTINENTAL INSURANCE",44,1798,"target_based","Scanning","Insurance","2026-03-04 16:41:53","2026-03-20 08:02:05"
17,"CTI015","CONTINENTAL INSURANCE",44,0,"staff_outsource","Staff outsource","Insurance","2026-03-04 16:42:29","2026-03-20 08:03:41"
18,"KGS016","KINGS HOSPITAL",,2000,"target_based","Scanning","Hospital","2026-03-04 16:49:13","2026-04-24 10:39:01"
19,"SLP017","SOFTLOGIC LIFE PLC",55,0,"time_based","Insurance Policy","Insurance","2026-03-05 11:21:23","2026-03-19 16:45:12"
20,"PLC018","PEOPLES LESSING COMPANY",61,1000,"target_based","Scanning","Finance","2026-03-05 11:53:24","2026-04-20 11:33:22"
83,"PLCH47","PEOPLES LESING HR FILES",,1799,"target_based","Scanning","Finance","2026-04-02 12:33:42","2026-04-20 11:39:34"
22,"ABH020","ABANS HERO",,0,"time_based","Staff outsource","Finance","2026-03-05 11:56:54","2026-03-31 11:02:46"
23,"JSF021","JANASHAKTHI FINANCE",,0,"target_based","Scanning","Finance","2026-03-05 11:59:27","2026-03-20 09:28:01"
24,"FFI022","FAIRFIRST INSURANCE",73,0,"target_based","Scanning","Insurance","2026-03-05 12:00:36","2026-04-01 16:27:16"
25,"PRM023","PRIME LANDS",,1800,"target_based","Scanning","Finance","2026-03-05 12:04:54","2026-03-19 23:10:55"
26,"PAB024","PAN ASIA BANK",,0,"target_based","Scanning","Bank","2026-03-05 12:10:58","2026-03-19 23:22:26"
27,"NDBN025","NDB BANK NAWAM MW",81,1800,"target_based","Scanning","Bank","2026-03-05 12:14:53","2026-03-20 18:32:20"
28,"NDBM026","NDB BANK MALABE",,0,"target_based","Scanning","Hospital","2026-03-05 12:15:34","2026-04-29 15:36:13"
29,"FTF027","FINTREX FINANCE",,1800,"target_based","Scanning","Finance","2026-03-05 12:18:55","2026-04-20 11:46:53"
30,"SGN028","SINHAGIRI",89,800,"time_based","Data entry","Finance","2026-03-05 12:20:03","2026-04-20 12:22:09"
61,"UNAS43","UNION ASSURANCE - SCANNING",13,0,"time_based","Scanning","Insurance","2026-03-23 12:59:47","2026-03-23 13:08:23"
32,"ABP030","ABANS PLC",90,800,"target_based","Data entry","Finance","2026-03-05 12:21:42","2026-04-07 09:14:33"
33,"CSW031","CAUSEWAY PAINTS",92,1800,"target_based","Scanning","Finance","2026-03-05 12:22:34","2026-03-20 09:59:06"
34,"SCS032","SAMPATH SECURITIES",,0,"target_based","Scanning","Finance","2026-03-05 12:30:16","2026-04-06 13:50:42"
35,"EMC033","EMERCHEMIE",97,1800,"target_based","Scanning","Hospital","2026-03-05 12:30:57","2026-03-19 23:37:21"
36,"SLC034","SOFTLOGIC CAPITAL",,0,"target_based","Scanning","Insurance","2026-03-05 12:32:27","2026-04-03 14:54:55"
