"ID","SITE_ID","STAFF_ID","TASK_DATE","IN_TIME","OUT_TIME","COUNT","OT_TYPE","INVOICE_PRICE","TASK_DESCRIPTION","TARGET","PAY_UNIT_PRICE","CREATED_AT","UPDATED_AT"
1088,102,166,"2026-04-09","07:43","19:16",0,"time_based",2362.5,"Staff outsourcing Per Person			",0,0,"2026-04-10 09:34:23","2026-04-10 09:34:23"
1089,36,99,"2026-04-09","","",886,"target_based",3.25,"Document Scanning A4 Size 			",0,0,"2026-04-10 09:45:04","2026-04-10 09:45:04"
1090,36,99,"2026-04-09","","",77,"target_based",1,"Indexing Charges for additional fields			",0,0,"2026-04-10 09:45:25","2026-04-10 09:45:25"
1091,36,100,"2026-04-09","","",603,"target_based",3.25,"Document Scanning A4 Size 			",0,0,"2026-04-10 09:45:45","2026-04-10 09:45:45"
1092,36,100,"2026-04-09","","",54,"target_based",1,"Indexing Charges for additional fields			",0,0,"2026-04-10 09:45:59","2026-04-10 09:45:59"
1093,6,76,"2026-04-09","","",774,"target_based",2.74,"""Scanning and indexing service for Leasing Applications – A4 & Below Indexes: Facility Number Output :200dpi / B&W/ PDF""				",0,0,"2026-04-10 13:11:13","2026-04-10 13:11:13"
1094,6,76,"2026-04-09","","",70,"target_based",0,"File",0,0,"2026-04-10 13:11:24","2026-04-10 13:11:24"
1095,6,106,"2026-04-09","","",716,"target_based",2.74,"""Scanning and indexing service for Leasing Applications – A4 & Below Indexes: Facility Number Output :200dpi / B&W/ PDF""				",0,0,"2026-04-10 13:11:37","2026-04-10 13:11:37"
1096,6,106,"2026-04-09","","",64,"target_based",0,"File",0,0,"2026-04-10 13:11:48","2026-04-10 13:11:48"
1097,6,107,"2026-04-09","","",689,"target_based",2.74,"""Scanning and indexing service for Leasing Applications – A4 & Below Indexes: Facility Number Output :200dpi / B&W/ PDF""				",0,0,"2026-04-10 13:12:08","2026-04-10 13:12:08"
1098,6,107,"2026-04-09","","",67,"target_based",0,"File",0,0,"2026-04-10 13:12:21","2026-04-10 13:12:21"
1099,6,108,"2026-04-09","","",656,"target_based",2.74,"""Scanning and indexing service for Leasing Applications – A4 & Below Indexes: Facility Number Output :200dpi / B&W/ PDF""				",0,0,"2026-04-10 13:12:44","2026-04-10 13:12:44"
1100,6,108,"2026-04-09","","",60,"target_based",0,"File",0,0,"2026-04-10 13:12:55","2026-04-10 13:12:55"
1101,83,162,"2026-04-09","","",1457,"target_based",3.75,"Scanning",0,0,"2026-04-10 13:14:10","2026-04-10 13:14:10"
1102,83,162,"2026-04-09","","",17,"target_based",0,"File",0,0,"2026-04-10 13:14:22","2026-04-10 13:14:22"
1103,83,136,"2026-04-09","","",3096,"target_based",3.75,"Scanning",0,0,"2026-04-10 13:17:14","2026-04-10 13:17:14"
1104,83,136,"2026-04-09","","",41,"target_based",0,"File",0,0,"2026-04-10 13:17:27","2026-04-10 13:17:27"
1107,83,184,"2026-04-09","","",1034,"target_based",3.75,"Scanning",0,0,"2026-04-10 13:22:09","2026-04-10 13:22:09"
1108,83,184,"2026-04-09","","",12,"target_based",0,"File",0,0,"2026-04-10 13:22:19","2026-04-10 13:22:19"
